RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
 -11.233       -5.812           -5.421           -5.837           -5.396           -5.372           -5.862           -5.982           -5.251     
  -2.868        2.553           -5.421            2.470           -5.339            1.645           -4.513            2.327           -5.195     
  48.088       -4.022           52.110           -3.763           51.851           -3.968           52.056           -2.989           51.077     
  50.813       -1.298           52.110           -1.271           52.084            0.053           50.760           -0.210           51.023     
  57.457        5.347           52.110            5.616           51.841            5.522           51.935            6.385           51.072     
  21.654       -4.407           26.061           -4.038           25.692           -3.407           25.061           -2.296           23.950     
  24.379       -1.683           26.061           -1.547           25.926            0.614           23.765            0.483           23.896     
  31.023        4.962           26.061            5.340           25.683            6.084           24.939            7.079           23.944     
   4.565       -3.028            7.593           -2.785            7.350           -3.114            7.679           -1.919            6.484     
   7.290       -0.303            7.593           -0.293            7.583            0.906            6.383            0.860            6.430     
  13.934        6.341            7.593            6.594            7.340            6.376            7.558            7.456            6.478     
  -1.410       -4.694            3.283           -4.459            3.049           -4.855            3.445           -3.639            2.228     
   1.315       -1.969            3.283           -1.967            3.282           -0.835            2.149           -0.860            2.175     
   7.959        4.675            3.283            4.920            3.039            4.635            3.324            5.735            2.223     
  -6.262       -4.558           -1.704           -4.359           -1.903           -5.048           -1.214           -3.809           -2.453     
  -3.537       -1.833           -1.704           -1.867           -1.670           -1.028           -2.510           -1.030           -2.507     
   3.107        4.811           -1.704            5.020           -1.913            4.442           -1.335            5.565           -2.458     
  53.035        2.009           51.027            2.140           50.895            1.895           51.140            2.738           50.297     
  56.644        5.618           51.027            5.653           50.991            6.880           49.765            6.405           50.240     
  60.230        9.203           51.027            9.347           50.883            9.212           51.017            9.938           50.292     
  25.335        0.369           24.966            0.609           24.725            1.196           24.138            2.171           23.163     
  28.944        3.978           24.966            4.122           24.822            6.181           22.763            5.838           23.106     
  32.529        7.563           24.966            7.816           24.713            8.513           24.015            9.370           23.158     
   8.270        1.654            6.616            1.775            6.495            1.448            6.822            2.507            5.762     
  11.879        5.263            6.616            5.288            6.591            6.432            5.446            6.173            5.705     
  15.464        8.848            6.616            8.981            6.482            8.765            6.699            9.706            5.757     
   1.888       -0.454            2.342           -0.338            2.226           -0.718            2.606            0.362            1.527     
   5.497        3.155            2.342            3.175            2.323            4.266            1.231            4.028            1.469     
   9.082        6.741            2.342            6.868            2.214            6.599            2.484            7.561            1.521     
  -3.848       -1.281           -2.567           -1.196           -2.652           -1.839           -2.009           -0.736           -3.112     
  -0.239        2.328           -2.567            2.316           -2.555            3.146           -3.385            2.930           -3.169     
   3.346        5.913           -2.567            6.010           -2.664            5.478           -2.132            6.463           -3.117     
  51.554        1.258           50.296            1.327           50.226            0.996           50.558            1.765           49.788     
  54.876        4.580           50.296            4.613           50.263            5.728           49.148            5.146           49.730     
  60.182        9.886           50.296            9.968           50.213            9.747           50.434           10.399           49.783     
  23.399       -0.832           24.231           -0.654           24.053           -0.155           23.553            0.747           22.652     
  26.721        2.490           24.231            2.632           24.089            4.578           22.143            4.127           22.593     
  32.027        7.796           24.231            7.987           24.040            8.597           23.430            9.380           22.647     
   6.071        0.099            5.971            0.164            5.907           -0.215            6.286            0.770            5.301     
   9.393        3.422            5.971            3.450            5.943            4.517            4.876            4.151            5.242     
  14.699        8.728            5.971            8.805            5.894            8.536            6.163            9.403            5.295     
   0.837       -0.887            1.724           -0.827            1.663           -1.249            2.085           -0.243            1.079     
   4.159        2.435            1.724            2.459            1.700            3.484            0.675            3.138            1.021     
   9.465        7.741            1.724            7.814            1.650            7.503            1.962            8.390            1.074     
  -4.254       -1.127           -3.127           -1.094           -3.160           -1.755           -2.499           -0.727           -3.527     
  -0.932        2.195           -3.127            2.192           -3.124            2.977           -3.909            2.654           -3.586     
   4.374        7.501           -3.127            7.547           -3.173            6.996           -2.623            7.906           -3.533     
  38.480       -5.167           43.647           -5.477           43.957           -6.545           45.025           -6.613           45.093     
  42.352       -1.295           43.647           -1.112           43.464           -0.955           43.307           -2.669           45.021     
  47.538        3.891           43.647            3.581           43.958            2.629           44.909            2.451           45.088     
  15.344       -2.370           17.714           -2.564           17.908           -2.748           18.092           -2.685           18.029     
  19.216        1.502           17.714            1.802           17.414            2.841           16.375            1.259           17.957     
  24.403        6.688           17.714            6.494           17.908            6.426           17.977            6.379           18.024     
   0.598        0.153            0.445           -0.094            0.691           -0.766            1.364           -0.621            1.219     
   4.469        4.025            0.444            4.272            0.197            4.823           -0.354            3.322            1.147     
   9.656        9.211            0.445            8.964            0.692            8.408            1.248            8.442            1.214     
  -3.394        0.095           -3.488           -0.137           -3.257           -0.728           -2.666           -0.563           -2.831     
   0.478        3.967           -3.489            4.228           -3.750            4.861           -4.383            3.380           -2.902     
   5.664        9.153           -3.488            8.921           -3.256            8.446           -2.781            8.500           -2.835     
  -7.457        0.292           -7.749            0.069           -7.526           -0.528           -6.929           -0.343           -7.114     
