RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
   7.648       16.564           -8.916           16.671           -9.022           13.681           -6.032           13.416           -5.768     
 -43.021      -31.671          -11.350          -31.606          -11.415          -33.316           -9.705          -33.287           -9.734     
 -13.145       -2.246          -10.899           -2.174          -10.972           -3.301           -9.844           -3.411           -9.734     
  -6.931        1.115           -8.046            1.113           -8.044            4.689          -11.620            2.803           -9.734     
   2.151       13.728          -11.577           13.808          -11.657           12.104           -9.953           11.885           -9.734     
 -48.518      -34.954          -13.565          -34.937          -13.581          -34.709          -13.810          -34.632          -13.887     
 -18.642       -5.529          -13.114           -5.504          -13.138           -4.694          -13.949           -4.756          -13.887     
 -12.428       -2.168          -10.261           -2.218          -10.211            3.297          -15.725            1.458          -13.887     
  -3.346       10.445          -13.791           10.477          -13.823           10.712          -14.058           10.540          -13.887     
   8.867      -28.543           37.411          -28.553           37.420          -32.604           41.471          -32.344           41.212     
  37.094       -0.976           38.070           -0.963           38.056           -4.265           41.358           -4.118           41.212     
  42.806       -0.242           43.048           -0.147           42.953            2.956           39.850            1.594           41.212     
  50.980       13.684           37.296           13.699           37.281            9.743           41.237            9.768           41.212     
 -17.424      -31.015           13.592          -31.054           13.631          -32.180           14.757          -31.612           14.188     
  10.803       -3.448           14.251           -3.464           14.267           -3.841           14.644           -3.385           14.188     
  16.515       -2.714           19.230           -2.648           19.163            3.380           13.136            2.327           14.188     
  24.689       11.212           13.477           11.198           13.492           10.167           14.523           10.501           14.188     
 -34.728      -28.424           -6.303          -28.442           -6.286          -32.689           -2.038          -31.927           -2.801     
  -6.501       -0.857           -5.644           -0.851           -5.650           -4.350           -2.151           -3.700           -2.801     
  -0.789       -0.123           -0.666           -0.035           -0.754            2.871           -3.660            2.012           -2.801     
   7.385       13.804           -6.418           13.810           -6.425            9.658           -2.273           10.186           -2.801     
 -40.512      -30.496          -10.016          -30.524           -9.988          -34.407           -6.104          -33.597           -6.914     
 -12.285       -2.929           -9.356           -2.933           -9.352           -6.068           -6.217           -5.371           -6.914     
  -6.573       -2.195           -4.378           -2.117           -4.456            1.153           -7.726            0.341           -6.914     
   1.601       11.732          -10.131           11.728          -10.127            7.940           -6.339            8.515           -6.914     
 -45.794      -31.737          -14.056          -31.785          -14.009          -35.332          -10.462          -34.472          -11.322     
 -17.567       -4.170          -13.397           -4.194          -13.373           -6.992          -10.575           -6.245          -11.322     
 -11.855       -3.436           -8.418           -3.378           -8.476            0.228          -12.083           -0.533          -11.322     
  -3.681       10.490          -14.171           10.467          -14.148            7.015          -10.696            7.641          -11.322     
   8.628      -29.537           38.166          -29.567           38.196          -33.258           41.886          -32.940           41.568     
  37.046       -1.797           38.843           -1.802           38.848           -4.729           41.775           -4.523           41.568     
  42.949       -1.046           43.996           -0.957           43.906            2.661           40.289            1.381           41.568     
  50.837       12.771           38.066           12.766           38.070            9.183           41.653            9.268           41.568     
 -17.806      -32.107           14.301          -32.165           14.359          -32.971           15.165          -32.345           14.539     
  10.612       -4.366           14.978           -4.400           15.012           -4.442           15.054           -3.927           14.539     
